Latitude,Longitude
N 39° 54' 27'',E 116° 23' 50''
N 39° 55' 0'',E 116° 23' 49''
N 39° 53' 26'',E 116° 24' 55''
N 40° 4' 48'',E 116° 35' 4''
N 39° 44' 9'',E 116° 7' 58''
N 39° 44' 24'',E 116° 19' 36''
N 39° 30' 36'',E 116° 24' 35''
N 39° 46' 58'',E 116° 23' 16''
N 39° 54' 14'',E 116° 39' 42''
N 40° 7' 18'',E 116° 38' 52''
N 39° 56' 17'',E 116° 5' 35''
N 39° 41' 13'',E 115° 59' 47''
N 40° 12' 58'',E 116° 14' 4''
N 26° 15' 33'',E 105° 52' 22''
N 39° 55' 31'',E 116° 23' 21''
N 39° 56' 26'',E 116° 18' 49''
N 39° 52' 12'',E 116° 21' 0''
N 39° 52' 46'',E 116° 24' 14''
N 39° 55' 34'',E 116° 29' 8''
N 39° 54' 34'',E 116° 23' 17''
N 39° 59' 29'',E 116° 23' 24''
N 39° 56' 27'',E 116° 22' 46''
N 40° 0' 29'',E 116° 18' 9''
N 39° 59' 26'',E 116° 16' 1''
N 40° 17' 16'',E 116° 4' 6''
N 39° 59' 29'',E 116° 23' 1''
N 39° 59' 37'',E 115° 59' 51''
N 40° 10' 50'',E 117° 18' 29''
N 40° 23' 35'',E 116° 40' 0''
N 39° 59' 33'',E 116° 14' 31''
N 39° 52' 54'',E 116° 24' 44''
N 39° 38' 9'',E 115° 38' 29''
N 39° 57' 55'',E 115° 56' 9''
N 39° 50' 20'',E 116° 11' 43''
N 39° 54' 17'',E 116° 31' 38''
N 39° 47' 39'',E 116° 11' 7''
N 39° 58' 32'',E 115° 57' 34''
N 39° 56' 24'',E 115° 30' 10''
N 39° 37' 47'',E 116° 18' 47''
N 39° 45' 39'',E 116° 41' 12''
N 39° 30' 19'',E 116° 23' 29''
N 40° 28' 49'',E 115° 51' 18''
N 40° 25' 11'',E 116° 32' 13''
N 40° 25' 38'',E 115° 56' 43''
N 40° 31' 28'',E 116° 24' 18''
N 40° 20' 49'',E 116° 0' 51''
N 40° 0' 52'',E 115° 49' 3''
N 40° 34' 59'',E 116° 36' 9''
N 40° 22' 33'',E 116° 50' 30''
N 40° 4' 26'',E 116° 0' 49''
