LAT,LONG
"18° 24' 5,758"" S","66° 53' 41,622"" W"
"17° 42' 26,855"" S","67° 15' 13,205"" W"
"17° 38' 16,380"" S","67° 13' 18,186"" W"
"18° 24' 4,101"" S","66° 52' 50,769"" W"
"18° 19' 5,358"" S","66° 52' 18,596"" W"
"18° 28' 58,244"" S","66° 57' 36,204"" W"
"18° 47' 30,498"" S","66° 25' 50,493"" W"
"17° 39' 48,932"" S","67° 19' 23,782"" W"
"18° 19' 50,363"" S","67° 31' 52,750"" W"
"18° 52' 6,841"" S","66° 46' 6,301"" W"
"18° 21' 28,887"" S","66° 46' 19,823"" W"
"18° 43' 16,612"" S","66° 40' 47,374"" W"
"17° 30' 28,345"" S","67° 18' 33,131"" W"
"18° 50' 18,059"" S","66° 38' 54,123"" W"
"18° 42' 24,611"" S","66° 52' 31,661"" W"
"18° 21' 18,494"" S","68° 56' 48,081"" W"
"18° 32' 15,989"" S","68° 56' 43,504"" W"
"18° 25' 51,736"" S","68° 53' 19,442"" W"
"18° 0' 46,115"" S","67° 56' 29,255"" W"
"17° 28' 38,491"" S","67° 14' 49,436"" W"
"17° 54' 22,055"" S","67° 40' 43,432"" W"
"18° 46' 20,048"" S","68° 16' 41,405"" W"
"18° 55' 43,721"" S","67° 56' 22,942"" W"
"19° 16' 59,431"" S","67° 3' 48,985"" W"
"18° 49' 37,771"" S","68° 36' 39,913"" W"
"18° 16' 0,058"" S","67° 32' 30,747"" W"
"17° 56' 43,432"" S","67° 29' 44,246"" W"
"18° 39' 22,731"" S","67° 21' 17,484"" W"
"18° 44' 26,521"" S","67° 45' 24,628"" W"
"18° 45' 32,768"" S","67° 40' 34,921"" W"
"19° 0' 15,603"" S","68° 38' 23,940"" W"
"17° 34' 9,382"" S","67° 10' 8,504"" W"
"18° 45' 3,880"" S","67° 41' 24,195"" W"
"17° 38' 55,483"" S","67° 6' 32,310"" W"
"17° 43' 3,612"" S","67° 5' 49,625"" W"
"17° 43' 7,257"" S","67° 11' 8,973"" W"
"17° 33' 32,169"" S","67° 6' 19,067"" W"
