LAT,LONG
-1.401389,5.6325
-1.430556,5.651944
-1.401389,5.6325
-1.445556,5.627222
-1.458333,5.636667
-1.401389,5.6325
-1.458333,5.636667
-1.401389,5.6325
-1.401389,5.6325
-1.458333,5.636667
-1.416667,5.633333
-1.458333,5.636667
-1.445556,5.627222
3.558518,8.852282
3.566667,8.857236
3.727925,8.810177
3.632934,8.906845
3.558518,8.852282
3.566667,8.857236
3.6722,8.636699
3.699201,8.908396
3.699201,8.908396
3.632934,8.906845
3.650685,8.915726
3.582477,8.866895
3.582477,8.866895
3.619633,8.898859
3.619633,8.898859
3.694296,8.803575
3.706084,8.809583
3.694296,8.803575
3.727925,8.810177
3.641547,8.918416
3.641547,8.918416
3.727925,8.810177
3.727925,8.810177
3.716819,8.68455
3.716819,8.68455
3.598022,8.886604
3.666667,8.633333
3.666667,8.633333
3.75,8.783333
3.75,8.783333
3.662636,8.917808
3.75,8.783333
3.727925,8.810177
3.662636,8.917808
3.699201,8.908396
3.75,8.783333
3.75,8.783333
3.75,8.783333
3.694296,8.803575
3.716667,8.833333
3.75,8.783333
3.709279,8.711648
3.75,8.783333
3.75,8.783333
3.699201,8.908396
3.709279,8.711648
3.681664,8.916325
3.681664,8.916325
3.718138,8.747619
3.285381,8.733801
3.518606,8.818264
3.518606,8.818264
3.524054,8.825271
3.518606,8.818264
3.518606,8.818264
3.397053,8.715558
3.49189,8.795527
3.433333,8.533333
3.455999,8.766875
3.455375,8.779726
3.518606,8.818264
3.524054,8.825271
3.443307,8.558136
3.443307,8.558136
3.59071,8.623294
3.59071,8.623294
3.59071,8.623294
3.59071,8.623294
3.633333,8.65
3.633333,8.65
3.443438,8.504907
3.635843,8.640037
3.635843,8.640037
3.402115,8.574109
3.49189,8.795527
3.49189,8.795527
3.49189,8.795527
3.49189,8.795527
3.49189,8.795527
3.49189,8.795527
3.350442,8.662766
3.350442,8.662766
3.418253,8.477299
3.408558,8.572603
3.42551,8.567707
3.419129,8.581599
3.285381,8.733801
3.419129,8.581599
3.285381,8.733801
3.418253,8.477299
3.408558,8.572603
3.42551,8.567707
3.436584,8.748804
3.436584,8.748804
3.436584,8.748804
3.436584,8.748804
3.457039,8.622423
3.410668,8.549861
3.419129,8.581599
3.456831,8.554647
3.382882,8.76209
3.443438,8.504907
3.382882,8.76209
3.305791,8.738487
3.317811,8.7414
3.317811,8.7414
3.273637,8.702635
3.382882,8.76209
3.382882,8.76209
3.456831,8.554647
3.348342,8.66026
3.418574,8.719788
3.415592,8.717707
3.333333,8.666667
3.467187,8.668262
3.333333,8.666667
3.467187,8.668262
3.436211,8.619094
3.436211,8.619094
3.418089,8.647364
3.382882,8.76209
3.438084,8.629935
3.410668,8.549861
3.410668,8.549861
3.252276,8.58507
3.252276,8.58507
3.456831,8.554647
3.252276,8.58507
3.252276,8.58507
3.252276,8.58507
0.988782,10.935336
1.934711,10.382782
1.933047,10.234076
1.765143,10.508284
2.086477,10.395255
2.084781,10.327541
1.836591,10.461651
1.878028,10.411086
1.454019,10.526668
1.309432,10.578484
1.75192,10.454036
1.079175,10.413422
1.428743,10.434034
1.974327,10.351715
1.974327,10.351715
1.701219,10.076824
1.428743,10.434034
1.617523,10.318248
1.548677,10.649922
1.884933,10.344894
1.591333,10.013717
1.591333,10.013717
1.382374,10.510781
1.390879,10.486574
1.208757,10.597972
1.429314,10.422398
1.849257,10.498971
1.024948,10.874403
1.081305,10.409974
1.674213,10.35798
1.047244,10.918739
1.052738,10.628669
1.040265,10.051927
0.997262,10.083739
1.280921,10.20293
1.575095,10.458291
1.908665,10.414038
2.078532,10.401429
1.934591,10.4512
1.905202,10.209293
1.816953,10.26118
1.132116,10.440265
1.049899,10.721129
0.95987,10.373733
1.363996,10.674491
2.064838,10.295713
2.050743,10.403029
1.760035,10.187942
1.824612,10.524507
1.426184,10.537663
1.800286,10.403829
1.777788,10.272644
1.70599,10.487974
1.953144,10.378132
1.01403,10.193814
1.395981,10.23367
2.165524,10.321011
1.934591,10.4512
1.31633,10.719546
1.801772,10.537677
1.466174,10.514204
1.032251,10.64882
1.032251,10.64882
1.089417,10.362408
1.074206,10.34351
1.032251,10.64882
1.913923,10.314323
1.399767,10.441883
1.554486,10.750337
1.364463,10.640672
1.505783,10.47392
1.399767,10.441883
1.280195,10.582529
1.261351,10.513582
1.684811,10.374213
1.575095,10.458291
1.908665,10.414038
1.558065,10.543388
1.165146,10.424612
1.554486,10.750337
1.364463,10.640672
1.183561,10.57953
1.183561,10.57953
1.829789,10.520783
1.295669,10.703397
1.829789,10.520783
1.382374,10.510781
1.429314,10.422398
1.081305,10.409974
1.674213,10.35798
1.047244,10.918739
1.040265,10.051927
1.040265,10.051927
1.363996,10.674491
1.816953,10.26118
1.132116,10.440265
1.049899,10.721129
2.064838,10.295713
1.800286,10.403829
1.032251,10.64882
1.032251,10.64882
1.032251,10.64882
1.801772,10.537677
1.466174,10.514204
1.032251,10.64882
1.089417,10.362408
1.032251,10.64882
1.060963,10.076488
1.084043,10.507301
1.825331,10.258951
1.060963,10.076488
2.116153,10.384419
1.909751,10.299772
1.654797,10.316589
1.563255,10.798657
1.039012,10.306997
1.963695,10.396399
1.599416,10.85663
1.965752,10.171869
1.678328,10.372916
1.441728,10.598419
1.294774,10.183397
1.366693,10.302827
1.069785,10.384626
0.99246,10.380697
1.401271,10.244788
1.75822,10.486004
1.474732,10.669649
1.318975,10.577447
1.882361,10.504459
1.708843,10.460107
1.093676,10.363118
1.13493,10.476792
0.983941,10.103423
0.983941,10.103423
1.881332,10.18259
1.72755,10.085589
1.599974,10.05492
1.599974,10.05492
1.474732,10.669649
1.318975,10.577447
1.191243,10.495944
1.86068,10.162094
1.571983,10.376565
1.434033,10.601582
1.030899,10.339823
1.405057,10.641968
1.272937,10.465432
1.23597,10.687592
0.985234,10.477476
1.434033,10.601582
1.272937,10.465432
1.004335,10.300114
1.408531,10.400285
1.373902,10.406683
1.037744,10.666211
1.443543,10.74707
1.934711,10.382782
1.897985,10.362171
1.443543,10.74707
1.443543,10.74707
1.364878,10.664411
1.08493,10.455095
1.959846,10.393592
1.959846,10.393592
1.730724,10.063464
1.568352,10.416071
1.333255,10.731336
1.333255,10.731336
1.73087,10.285381
1.364878,10.664411
0.996197,10.28242
1.697277,10.300078
1.138048,10.573283
1.611766,10.539861
1.133672,10.780364
1.038302,10.676438
1.328276,10.582685
1.829396,10.580123
1.275165,10.498107
1.568093,10.395047
2.047864,10.217838
1.884091,10.408813
1.428362,10.581025
2.089052,10.346148
2.035348,10.386434
1.755397,10.281822
1.802894,10.266926
1.811168,10.267762
1.546791,10.564877
1.010583,10.403878
1.581129,10.46716
1.233485,10.577857
1.233485,10.577857
1.309309,10.748314
1.038657,10.452814
1.453864,10.387838
1.787329,10.204754
2.143887,10.225752
1.802894,10.266926
1.811168,10.267762
1.546791,10.564877
1.581129,10.46716
1.944678,10.388191
1.572968,10.08839
2.143887,10.225752
1.931128,10.388884
1.830026,10.465014
0.983333,10
0.972523,10.113244
0.983333,10
0.972523,10.113244
1.709285,10.075499
1.653864,10.520376
1.309309,10.748314
1.295547,10.699559
1.732788,10.44095
1.448159,10.528121
1.378899,10.581596
1.364152,10.710003
1.071433,10.743916
1.018873,10.008225
1.976382,10.283402
1.163828,10.55142
1.372087,10.314359
1.163828,10.55142
2.018269,10.218579
1.722968,10.292454
2.012051,10.357993
1.067681,10.377452
1.45765,10.516745
1.453301,10.375659
1.842841,10.443324
1.804082,10.388501
1.366894,10.52047
1.323072,10.745358
1.946871,10.368282
1.323072,10.745358
1.946871,10.368282
1.366894,10.52047
1.373902,10.500648
1.05488,10.929281
1.85689,10.211339
1.852274,10.201309
1.398107,10.572986
1.516849,10.588254
1.580092,10.508395
1.101141,10.38128
1.101141,10.38128
1.15486,10.776433
1.076022,10.503575
1.950758,10.258193
1.746499,10.131181
1.950758,10.258193
1.746499,10.131181
1.191076,10.524206
1.499454,10.6929
1.084246,10.620317
1.85689,10.211339
2.042634,10.428028
1.347485,10.386956
1.347485,10.386956
1.741813,10.15153
1.18496,10.781453
1.301582,10.501582
1.436772,10.551238
1.436772,10.551238
1.436772,10.551238
1.436772,10.551238
1.366278,10.578899
1.746802,10.452803
1.483515,10.48789
1.483515,10.48789
1.026488,10.599772
1.026488,10.599772
1.437923,10.598937
1.026488,10.599772
1.1946,10.501065
1.290328,10.423298
1.022219,10.244448
1.991187,10.308681
1.591294,10.522554
1.276772,10.463115
1.195209,10.485918
2.103307,10.375737
1.580714,10.045514
1.161495,10.385868
1.897571,10.293541
1.973764,10.275547
1.361818,10.686834
1.859019,10.190561
1.001692,10.782972
2.070026,10.282093
1.001724,10.262777
1.001724,10.262777
1.39202,10.475942
2.07397,10.258262
1.879008,10.27148
1.832752,10.465776
1.774521,10.472403
1.740879,10.284811
1.581007,10.418923
1.345721,10.724749
1.059594,10.248251
0.999594,10.753448
1.429158,10.610417
1.276772,10.463115
1.195209,10.485918
2.103307,10.375737
1.161495,10.385868
1.973764,10.275547
2.078028,10.27348
1.208113,10.554056
1.793179,10.10833
1.372139,10.659847
1.97186,10.401989
1.97186,10.401989
1.051927,10.246147
1.482892,10.485744
1.051927,10.246147
1.965687,10.26875
1.482892,10.485744
1.025563,10.848708
1.196856,10.458048
1.889465,10.277821
1.826581,10.119767
1.767119,10.574552
1.767119,10.574552
1.147465,10.506223
1.035767,10.039797
1.147465,10.506223
0.985691,10.502662
1.168154,10.779683
1.303255,10.710174
1.503059,10.635153
1.282633,10.481595
1.19133,10.487592
1.114233,10.413092
1.203144,10.540975
1.840705,10.439321
1.17085,10.60464
1.172143,10.577959
1.078998,10.447319
1.116667,10.366667
1.116667,10.366667
1.72385,10.178069
1.488545,10.278795
1.436772,10.551238
1.094068,10.275499
1.558065,10.866802
1.041797,10.948839
1.558065,10.866802
1.860145,10.455971
1.116667,10.366667
1.225271,10.581964
1.225271,10.581964
1.225271,10.581964
1.408395,10.635019
1.037325,10.791957
1.343025,10.468612
1.343025,10.468612
1.841325,10.133425
1.386834,10.57838
1.147769,10.572852
1.37442,10.554123
1.180823,10.548251
1.842841,10.443324
1.804082,10.388501
1.509484,10.641035
1.122523,10.586147
1.180899,10.738504
1.271516,10.70376
1.497951,10.543906
1.84497,10.221689
1.84497,10.221689
1.918872,10.462533
1.579954,10.826079
1.442688,10.598139
1.336211,10.264411
1.102282,10.391558
1.824169,10.50964
1.72219,10.138286
1.527291,10.470272
1.396396,10.255627
2.146538,10.200362
1.552275,10.767063
1.346914,10.309658
1.345099,10.346759
1.107605,10.391862
1.386159,10.336004
1.239569,10.575347
1.386471,10.456321
1.413569,10.628901
1.563825,10.514335
1.336211,10.264411
1.495825,10.737922
1.824169,10.50964
1.527291,10.470272
1.345099,10.346759
1.742176,10.491884
1.713322,10.434137
2.125073,10.343868
2.105994,10.349587
2.058543,10.413222
1.063549,10.335843
2.058543,10.413222
1.063549,10.335843
2.098209,10.356408
1.521412,10.531284
1.4859,10.22283
1.819216,10.374866
1.798898,10.529612
1.359845,10.249903
1.825433,10.469882
1.704745,10.502308
1.612233,10.471153
1.672865,10.36187
1.825433,10.469882
1.704745,10.502308
